NAME;CAPITAL;TOTAL_AREA_KM2;POPULATION;DENSITY_KM2;CONTINENT;URBAN_POPULATION;RURAL_POPULATION;CRUDE_OIL_BAR_DAY;OIL_RES_MIL_BAR;GAS_TONS;GAS_RES_MIL_M_3;GDP_MILLION_$;GDP_GROW_RATE;GDP_$_PER_CAPITA;DOCTORS;ILLITERACY;PRIMARY_SECTOR;SECONDARY_SECTOR;TERTIARY_SECTOR;PHONES_RATE;NATURAL_GROWTH;MEM_LIFE_EXP;WOMEN_LIFE_EXP;MAIN_SECTOR;MAIN_GROUP
Togo;Lome;56790;4568261;80,4;Africa;31;69;;;;;4100;6;900;12992;;70;10;18;0;30,6;51,3;54,8;Primary;Rural
Trinidad & Tobago ;Port of Spain ;5130;1272684;248,1;America ;72;28;;;;;0;3,5;12100;1213;;11;30;57;0,16;13,9;68;73;Tertiary ;Urban
Tunisia ;Tunis ;163610;9029914;55,2;Africa;57;43;;300;;;37100;4,4;4250;1834;;21;26;34;0,03;20,8;64,6;66,1;Tertiary ;Urban
Turkey;Ankara;780580;64654615;82,8;Asia;69;31;;;;;0;6,8;5500;1189;24;46;16;28;0,1;20,6;62,5;65,8;Primary;Urban
Turkmenistan;Ashgabat;488100;4155600;8,5;Asia;45;55;;;;;0;-10;2820;;;;;;;28,8;;;;Rural
Uganda;Kampala ;236040;20013660;84,8;Africa;13;87;;;;;16800;7,1;900;20300;43;82;5;12;0;34,7;49,8;52,7;Primary;Rural
Ukraine ;Kiev (Kyiv) ;603700;51888575;86;Europe;70;30;;;;;174600;-4;3370;;;;;;;2,8;;;;Urban
United Arab Emirates;Abu Dhabi ;75581;3057663;40,5;Asia;84;16;2166000;97700;31500000;5800000;0;3,3;24000;659;27;;33;61;0,15;28;68,4;71,7;Tertiary ;Urban
United Kingdom;London;244820;58452516;238,8;Europe;89;11;2735000;4500;76100000;700000;1138400;2,7;19500;611;0;;21;53;0,5;2,8;72,2;77,9;Tertiary ;Urban
United States ;Washington;9372610;266504935;28,4;America ;76;24;8300000;29800;492200000;4700000;7;2,1;27500;404;;2;25;70;0,45;7,9;71,8;67,5;Tertiary ;Urban
Uruguay ;Montevideo;176220;3246564;18,4;America ;90;10;;;;;0;-2,4;7600;344;5;14;23;53;0,16;9,6;68,9;75,3;Tertiary ;Urban
Uzbekistan;Tashkent;447400;23569518;52,7;Asia;41;59;;;;;0;-1;2370;;;;;;;28,3;;;;Rural
Vanuatu ;Port Vila ;14760;177503;12;Oceania ;19;81;;;;;210;2;1220;7948;;61;3;18;0,01;32,5;61,1;59,3;Primary;Rural
Venezuela ;Caracas ;912050;21445873;23,5;America ;93;7;3145000;64900;28800000;4000000;0;2,2;9300;576;;12;26;60;0,08;23,1;66,9;73,1;Tertiary ;Urban
Vietnam ;Hanoi ;329560;75665450;229,6;Asia;21;79;;;;;0;9,5;1300;3098;;67;;13;;22,3;;;Primary;Rural
Western Samoa ;Apia;2860;214322;74,9;Oceania ;21;79;;;;;415;5;1900;4103;0;63;3;31;;27;64;69;Primary;Rural
Yemen ;Sanaa ;527970;15320559;29;Asia;34;66;370000;4000;;;0;3,6;2520;5331;;56;14;;0;30;45,6;48,9;Primary;Rural
Zaire ;Kinshasa;2345410;45461764;19,4;Africa;29;71;;;;;16500;-7,4;400;23193;;67;14;17;0;31,4;50,3;53,7;Primary;Rural
Zambia;Lusaka;752610;9700758;12,9;Africa;43;57;;;;;8900;0;900;8437;;70;5;7;0,01;37,5;52,4;54,5;Primary;Rural
Zimbabwe;Harare;390580;11338252;29;Africa;32;68;;;;;18100;-2,4;1620;6951;24;24;27;22;0,02;31,4;57,9;61,4;Secondary;Rural
